Time,Temperature (C),Temperature (F),Humidity
7/7/2025 14:33,20.5,69,67.5
7/7/2025 14:34,20.6,69,67.5
7/7/2025 14:35,20.6,69,67.6
7/7/2025 14:36,20.5,69,67.6
7/7/2025 14:37,20.6,69,67.6
7/7/2025 14:38,20.5,69,67.5
7/7/2025 14:39,20.6,69.1,67.6
7/7/2025 14:40,20.5,69,67.5
7/7/2025 14:41,20.6,69,67.5
7/7/2025 14:42,20.6,69,67.5
7/7/2025 14:43,20.6,69,67.4
7/7/2025 14:44,20.5,69,67.6
7/7/2025 14:45,20.6,69.1,67.5
7/7/2025 14:46,20.6,69.1,67.5
7/7/2025 14:47,20.5,69,67.5
7/7/2025 14:48,20.6,69.1,67.4
7/7/2025 14:49,20.5,69,67.4
7/7/2025 14:50,20.6,69.1,67.5
7/7/2025 14:51,20.5,69,67.5
7/7/2025 14:52,20.6,69,67.4
7/7/2025 14:53,20.5,69,67.5
7/7/2025 14:54,20.6,69,67.5
7/7/2025 14:55,20.5,69,67.5
7/7/2025 14:56,20.6,69,67.6
7/7/2025 14:57,20.6,69,67.5
7/7/2025 14:58,20.6,69,67.5
7/7/2025 14:59,20.6,69.1,67.5
7/7/2025 15:00,20.5,69,67.5
7/7/2025 15:01,20.6,69.1,67.5
7/7/2025 15:02,20.6,69,67.5
7/7/2025 15:03,20.6,69,67.6
7/7/2025 15:04,20.5,69,67.6
7/7/2025 15:05,20.6,69,67.7
7/7/2025 15:06,20.6,69,67.7
7/7/2025 15:07,20.6,69,67.8
7/7/2025 15:08,20.6,69.1,67.7
7/7/2025 15:09,20.5,69,67.7
7/7/2025 15:10,20.6,69,67.8
7/7/2025 15:11,20.6,69,68
7/7/2025 15:12,20.6,69,67.8
7/7/2025 15:13,20.6,69,67.9
7/7/2025 15:14,20.6,69.1,67.9
7/7/2025 15:15,20.6,69.1,67.9
7/7/2025 15:16,20.6,69.1,67.9
7/7/2025 15:17,20.6,69.1,67.9
7/7/2025 15:18,20.6,69.1,67.9
7/7/2025 15:19,20.5,69,67.9
7/7/2025 15:20,20.6,69.1,68
7/7/2025 15:21,20.6,69.1,67.9
7/7/2025 15:22,20.6,69,67.9
7/7/2025 15:23,20.6,69,67.9
7/7/2025 15:24,20.6,69,68
7/7/2025 15:25,20.6,69.1,68
7/7/2025 15:26,20.6,69,67.9
7/7/2025 15:27,20.6,69,67.9
7/7/2025 15:28,20.6,69.1,68
7/7/2025 15:29,20.6,69.1,67.9
7/7/2025 15:30,20.6,69.1,68
7/7/2025 15:31,20.6,69,68
7/7/2025 15:32,20.6,69.1,68.1
7/7/2025 15:33,20.5,69,68.1
7/7/2025 15:34,20.6,69.1,68
7/7/2025 15:35,20.7,69.2,68
7/7/2025 15:36,20.6,69.1,68
7/7/2025 15:37,20.6,69.1,68
7/7/2025 15:38,20.6,69.1,68
7/7/2025 15:39,20.6,69.2,68
7/7/2025 15:40,20.6,69.1,68
7/7/2025 15:41,20.6,69.2,68.1
7/7/2025 15:42,20.6,69.1,68.1
7/7/2025 15:43,20.6,69.2,68.1
7/7/2025 15:44,20.6,69.2,68
7/7/2025 15:45,20.6,69.1,68.1
7/7/2025 15:46,20.6,69.1,68.1
7/7/2025 15:47,20.6,69.2,68.1
7/7/2025 15:48,20.6,69.1,68.1
7/7/2025 15:49,20.6,69.1,68.1
7/7/2025 15:50,20.6,69.1,68.1
7/7/2025 15:51,20.6,69,68.1
7/7/2025 15:52,20.6,69.1,68.1
7/7/2025 15:53,20.6,69.1,68.1
7/7/2025 15:54,20.6,69,68
7/7/2025 15:55,20.6,69.1,68.1
7/7/2025 15:56,20.7,69.2,68.2
7/7/2025 15:57,20.6,69.2,68.1
7/7/2025 15:58,20.6,69.2,68.2
7/7/2025 15:59,20.6,69.1,68.1
7/7/2025 16:00,20.6,69.1,68.2
7/7/2025 16:01,20.6,69.2,68.2
7/7/2025 16:02,20.6,69.1,68.2
7/7/2025 16:03,20.6,69.1,68.2
7/7/2025 16:04,20.6,69.1,68.2
7/7/2025 16:05,20.6,69.1,68.2
7/7/2025 16:06,20.6,69.2,68.1
7/7/2025 16:07,20.6,69,68.2
7/7/2025 16:08,20.6,69.1,68.1
7/7/2025 16:09,20.6,69.2,68.2
7/7/2025 16:10,20.6,69.2,68.2
7/7/2025 16:11,20.7,69.2,68.2
7/7/2025 16:12,20.6,69.2,68.2
7/7/2025 16:13,20.6,69.2,68.2
7/7/2025 16:14,20.6,69.1,68.2
7/7/2025 16:15,20.7,69.2,68.2
7/7/2025 16:16,20.7,69.2,68.2
7/7/2025 16:17,20.6,69.2,68.2
7/7/2025 16:18,20.7,69.2,68.2
7/7/2025 16:19,20.7,69.2,68.2
7/7/2025 16:20,20.6,69.2,68.2
7/7/2025 16:21,20.6,69.2,68.2
7/7/2025 16:22,20.6,69.2,68.1
7/7/2025 16:23,20.6,69.2,68.2
7/7/2025 16:24,20.6,69.2,68.2
7/7/2025 16:25,20.6,69.1,68.2
7/7/2025 16:26,20.6,69.2,68.2
7/7/2025 16:27,20.6,69.2,68.2
7/7/2025 16:28,20.7,69.2,68.2
7/7/2025 16:29,20.6,69.2,68.2
7/7/2025 16:30,20.6,69.2,68.1
7/7/2025 16:31,20.6,69.2,68.2
7/7/2025 16:32,20.6,69.2,68.1
7/7/2025 16:33,20.7,69.2,68.1
7/7/2025 16:34,20.6,69.2,68.1
7/7/2025 16:35,20.7,69.2,68.1
7/7/2025 16:36,20.6,69.1,68.1
7/7/2025 16:37,20.7,69.2,68.1
7/7/2025 16:38,20.6,69.2,68.1
7/7/2025 16:39,20.6,69.2,68.2
7/7/2025 16:40,20.6,69.2,68.1
7/7/2025 16:41,20.6,69.2,68.1
7/7/2025 16:42,20.6,69.2,68.1
7/7/2025 16:43,20.7,69.2,68.1
7/7/2025 16:44,20.6,69.2,68.1
7/7/2025 16:45,20.6,69.2,68.1
7/7/2025 16:46,20.6,69.2,68.1
7/7/2025 16:47,20.7,69.2,68.2
7/7/2025 16:48,20.6,69.2,68.2
7/7/2025 16:49,20.6,69.2,68.2
7/7/2025 16:50,20.6,69.2,68.2
7/7/2025 16:51,20.6,69.2,68.2
7/7/2025 16:52,20.7,69.2,68.2
7/7/2025 16:53,20.7,69.2,68.1
7/7/2025 16:54,20.6,69.1,68.1
7/7/2025 16:55,20.6,69.1,68.2
7/7/2025 16:56,20.6,69.2,68.2
7/7/2025 16:57,20.6,69.1,68.1
7/7/2025 16:58,20.7,69.2,68.2
7/7/2025 16:59,20.6,69.2,68.1
7/7/2025 17:00,20.6,69.2,68.1
7/7/2025 17:01,20.6,69.1,68.1
7/7/2025 17:02,20.7,69.2,68.1
7/7/2025 17:03,20.7,69.2,68.1
7/7/2025 17:04,20.6,69.2,68.1
7/7/2025 17:05,20.7,69.2,68.1
7/7/2025 17:06,20.6,69.2,68.1
7/7/2025 17:07,20.7,69.2,68.1
7/7/2025 17:08,20.6,69.1,68.1
7/7/2025 17:09,20.7,69.2,68
7/7/2025 17:10,20.7,69.2,68.1
7/7/2025 17:11,20.6,69.2,68.1
7/7/2025 17:12,20.6,69.2,68.1
7/7/2025 17:13,20.7,69.2,68.1
7/7/2025 17:14,20.7,69.3,68.1
7/7/2025 17:15,20.6,69.2,68.1
7/7/2025 17:16,20.7,69.2,68.1
7/7/2025 17:17,20.7,69.2,68.1
7/7/2025 17:18,20.7,69.3,68.1
7/7/2025 17:19,20.7,69.2,68.1
7/7/2025 17:20,20.7,69.2,68.1
7/7/2025 17:21,20.6,69.2,68
7/7/2025 17:22,20.7,69.2,68.1
7/7/2025 17:23,20.7,69.2,68.1
7/7/2025 17:24,20.6,69.2,68.1
7/7/2025 17:25,20.6,69.2,68.1
7/7/2025 17:26,20.7,69.2,68.1
7/7/2025 17:27,20.7,69.2,68.1
7/7/2025 17:28,20.7,69.2,68.1
7/7/2025 17:29,20.6,69.1,68.1
7/7/2025 17:30,20.7,69.2,68.1
7/7/2025 17:31,20.7,69.2,68.1
7/7/2025 17:32,20.7,69.2,68
7/7/2025 17:33,20.6,69.2,68.1
7/7/2025 17:34,20.7,69.2,68.2
7/7/2025 17:35,20.6,69.2,68
7/7/2025 17:36,20.7,69.2,68.1
7/7/2025 17:37,20.7,69.2,68.1
7/7/2025 17:38,20.6,69.2,68
7/7/2025 17:39,20.7,69.2,68
7/7/2025 17:40,20.6,69.2,68
7/7/2025 17:41,20.6,69.1,68
7/7/2025 17:42,20.7,69.2,67.9
7/7/2025 17:43,20.7,69.3,68
7/7/2025 17:44,20.7,69.2,68
7/7/2025 17:45,20.6,69.2,68
7/7/2025 17:46,20.6,69.2,67.9
7/7/2025 17:47,20.7,69.2,67.9
7/7/2025 17:48,20.7,69.2,67.9
7/7/2025 17:49,20.7,69.2,67.9
7/7/2025 17:50,20.6,69.1,67.9
7/7/2025 17:51,20.7,69.2,68
7/7/2025 17:52,20.7,69.2,68
7/7/2025 17:53,20.7,69.2,67.9
7/7/2025 17:54,20.6,69.2,67.9
7/7/2025 17:55,20.6,69.1,67.9
7/7/2025 17:56,20.6,69.2,67.9
7/7/2025 17:57,20.6,69.2,67.9
7/7/2025 17:58,20.7,69.2,68
7/7/2025 17:59,20.6,69.2,67.9
7/7/2025 18:00,20.7,69.2,68
